Unit Name,Visitors,YearRaw
Zion National Park,575800,1960
Capitol Reef National Park,102500,1960
Arches National Park,59800,1959
Bryce Canyon National Park,278300,1959
Zion National Park,585000,1959
Capitol Reef National Park,89600,1959
Arches National Park,40100,1958
Bryce Canyon National Park,248500,1958
Zion National Park,590700,1958
Capitol Reef National Park,65000,1958
Arches National Park,25400,1957
Bryce Canyon National Park,263000,1957
Zion National Park,525100,1957
Capitol Reef National Park,56900,1957
Arches National Park,28500,1956
Bryce Canyon National Park,257600,1956
Zion National Park,421200,1956
Capitol Reef National Park,62500,1956
Arches National Park,31800,1955
Bryce Canyon National Park,254200,1955
Zion National Park,406800,1955
Capitol Reef National Park,7500,1955
Arches National Park,31300,1954
Bryce Canyon National Park,238200,1954
Zion National Park,416800,1954
Capitol Reef National Park,12900,1954
Arches National Park,30853,1953
Bryce Canyon National Park,242820,1953
Zion National Park,389445,1953
Capitol Reef National Park,9991,1953
Arches National Park,28683,1952
Bryce Canyon National Park,225113,1952
Zion National Park,352921,1952
Capitol Reef National Park,6411,1952
Arches National Park,18603,1951
Bryce Canyon National Park,224801,1951
Zion National Park,331079,1951
Capitol Reef National Park,13192,1951
Arches National Park,16257,1950
Bryce Canyon National Park,212976,1950
Zion National Park,323402,1950
Capitol Reef National Park,3066,1950
Arches National Park,13270,1949
Bryce Canyon National Park,192552,1949
Zion National Park,307881,1949
Capitol Reef National Park,0,1947
Arches National Park,8870,1948
Bryce Canyon National Park,175975,1948
Zion National Park,297571,1948
Capitol Reef National Park,0,1946
Arches National Park,5028,1947
Bryce Canyon National Park,163172,1947
Zion National Park,273953,1947
Capitol Reef National Park,0,1945
Arches National Park,2301,1946
Bryce Canyon National Park,125828,1946
Zion National Park,212280,1946
Capitol Reef National Park,0,1944
Arches National Park,682,1945
Bryce Canyon National Park,33463,1945
Zion National Park,78280,1945
Capitol Reef National Park,0,1943
Arches National Park,642,1944
Bryce Canyon National Park,10311,1944
Zion National Park,42243,1944
Capitol Reef National Park,0,1942
Arches National Park,776,1943
Bryce Canyon National Park,7690,1943
Zion National Park,44089,1943
Capitol Reef National Park,1975,1941
Arches National Park,1205,1942
Bryce Canyon National Park,30019,1942
Zion National Park,68797,1942
Capitol Reef National Park,2000,1940
Arches National Park,3737,1941
Bryce Canyon National Park,124563,1941
Zion National Park,192805,1941
Capitol Reef National Park,1500,1939
Arches National Park,2512,1940
Bryce Canyon National Park,103362,1940
Zion National Park,165029,1940
Arches National Park,1775,1939
Bryce Canyon National Park,101500,1939
Zion National Park,158063,1939
Arches National Park,1448,1938
Bryce Canyon National Park,101851,1938
Zion National Park,149075,1938
Arches National Park,1000,1937
Bryce Canyon National Park,94331,1937
Zion National Park,137404,1937
Arches National Park,400,1936
Bryce Canyon National Park,88848,1936
Zion National Park,124393,1936
Arches National Park,300,1935
Bryce Canyon National Park,63703,1935
Zion National Park,97280,1935
Arches National Park,275,1934
Bryce Canyon National Park,51188,1934
Zion National Park,68801,1934
Arches National Park,425,1933
Bryce Canyon National Park,32878,1933
Zion National Park,48763,1933
Arches National Park,480,1932
Bryce Canyon National Park,34143,1932
Zion National Park,51650,1932
Arches National Park,405,1931
Bryce Canyon National Park,41572,1931
Zion National Park,59186,1931
Arches National Park,400,1930
Bryce Canyon National Park,35982,1930
Zion National Park,55297,1930
Zion National Park,33383,1929
Zion National Park,30016,1928
Zion National Park,24303,1927
Zion National Park,21964,1926
Zion National Park,16817,1925
Zion National Park,8400,1924
Zion National Park,6408,1923
Zion National Park,4109,1922
Zion National Park,2937,1921
Zion National Park,3692,1920
